Exchange, URL, REPO, DOCS, DEX GRADE, Status, Protocol, Reference, Asset, DLT, ORG, 
Blackhalo,http://blackhalo.info/,https://github.com/dzimbeck/Halo, , FULLY, operating - beta, TBC, , , , , 
Blockchain.io,https://blockchain.io/, ,https://blockchain.io/wp-content/uploads/2018/09/BCIO_Whitepaper.pdf, DS DSTT, dev, cross-chain protocol,3, , , , 
Block DX,https://blocknet.co/block-dx/,https://github.com/BlocknetDX/blockdx-ui,https://docs.blocknet.co/project/blocknet-whitepaper.pdf, FULLY, operating - beta, blocknet protocol,10, All, N/A, None, 
BlockEQ,https://www.blockeq.com/,https://github.com/Block-Equity/, , , operating, stellar protocol, , , Stellar, , 
Blockonix,https://blockonix.com, ,https://support.blockonix.com/hc/en-us/articles/360005080714-Blockonix-Whitepaper-Ver-1-0-0, , , on-chain protocol, , , Ethereum, , 
Blockport,https://blockport.io/,https://github.com/Blockport, , , dev, blockport protocol,3, , , , 
BlockTrades,https://blocktrades.us, , , , operating, counterparty protocol, , , , , 
Braveno,https://braveno.com/,https://github.com/Braveno,http://docs.braveno.com/, DSTT, operating, TBC,3, , , , 
BTSABC,https://bit.btsabc.org/, , , , operating, bitshares protocol DPOS, , , , , 
Bytabit,https://bytabit.org/, , , ACL DCD DC DOM, dev, bytabit protocol,6, , , , 
Catalyst,https://enigmampc.github.io/catalyst/index.html,https://github.com/enigmampc/catalyst,https://www.enigma.co/enigma_catalyst.pdf, , dev - alpha, enigma protocol, , , , , 
CDX,https://github.com/YouDex/cdx,https://github.com/YouDex/cdx,https://github.com/YouDex/cdx/blob/master/CDX_PROTOCOL.pdf, , proposed, enigma protocol, , TBC, Ethereum - Youdex Sidechain, , 
Coinchangex,https://www.coinchangex.com/, , , , operating, TBC, , , , , 
Coinffeine,https://www.coinffeine.com/,https://github.com/Coinffeine, , , dev, coinffeine protocol, , , , , 
COMIT,https://www.comit.network/,https://github.com/comit-network,https://www.comit.network/doc/COMIT%20white%20paper%20v1.0.2.pdf, , whitepaper, comit protocol cross-chain routing,2, , , , 
Cosmos Network,https://cosmos.network/,https://github.com/cosmos,https://github.com/cosmos/cosmos/blob/master/DEX.md, , whitepaper, interledger protocol, , , , , 
Counterparty DEX,https://wallet.counterwallet.io/#pages/exchange.html,https://github.com/CounterpartyXCP/,https://counterparty.io/docs/api/, , operating, counterparty protocol, , Bitcoin - Counterparty Tokens, Bitcoin, , 
Crypto Bridge,https://wallet.crypto-bridge.org/,https://github.com/CryptoBridge/cryptobridge-ui, , , operating, bitshares protocol DPOS, , , , , 
CryptoDerivatives,https://cryptoderivatives.market,https://github.com/bokkypoobah/TokenTrader,https://github.com/bokkypoobah/TokenTrader/wiki, , operating, on-chain, , , Ethereum, , 
Cybex,https://dex.cybex.io/, , , , operating, bitshares protocol Graphene, , , , , 
DC-Ex,https://www.dc-ex.com/, , , , operating, TBC, , , , , 
DDEX,https://ddex.io/trade/,https://github.com/HydroProtocol/protocol,https://docs.ddex.io/, , operating, 0x protocol, , , , , 
Decred,https://www.decred.org/,https://github.com/decred/atomicswap/,https://github.com/decred/atomicswap/blob/master/README.md, , operating, decred cross-chain atomic swapping protocol, , , , , 
Deex,https://deex.exchange/, , , , dev, bitshares protocol Graphene, , , , , 
DecentralizedEXchange, ,https://github.com/Dexaran/DecentralizedEXchange, , , dev, TBC, , , , , 
Dether,https://dether.io/,https://github.com/dethertech, , , dev, TBC,6, , , , 
Deviant DEX,https://deviantcoin.io/,https://github.com/Deviantcoin,https://deviantcoin.io/whitepaper.pdf, , https://twitter.com/DeviantCoin/status/962108577157562368/, TBC, , , , , 
DEX, ,https://github.com/ltfschoen/dex, , , dev, 0x protocol, , , , , 
Dexdex,https://dexdex.io/,https://github.com/dexdexplatform, , FULLY, dev, 0x protocol, , , , , 
DEXEOS,https://dexeos.io/,https://github.com/DEXEOS, , FULLY, operating, EOS, , , EOS, WIZLAB, 
Dexex,https://www.dexlab.io/,https://github.com/dexlab-io, , , dev, 0x protocol, , , , , 
DEXON dex,https://dexon.org/,https://github.com/dexon-foundation,https://eprint.iacr.org/2018/1112.pdf, , dev, TBC, , , DEXON, Dexon Foundation, 
dex-simple, ,https://github.com/treverson/dex-simple, , , prototype, TBC, , , , , 
Dexternal,https://dexternal.com/, , , , dev, TBC, , , Ethereum, , 
DEx.top,https://dex.top/,https://github.com/dexDev/DEx.top,https://github.com/dexDev/DEx.top/blob/master/whitepaper/DEx-Whitepaper-Short-Version.pdf, , live, replayed-on-chain protocol, , , , , 
Dextroid,https://www.dextroid.io/, , , , operating - beta, 0x protocol, , , , , 
DEXY,https://www.dexy.exchange/,https://github.com/DexyProject, , DOB, dev, decentralized exchange protocol, , , , , 
Dexy, ,https://github.com/bokkypoobah/Dexy, , , dev, TBC, , , , , 
DEW,https://t3.dew.one/, , , , dev, TBC,4, ERC20 Tokens, Ethereum, , 
Dharma,https://dharma.io/,https://github.com/dharmaprotocol,https://whitepaper.dharma.io/, , dev, TBC,2, ERC20 Tokens - Dharma Debt Token, Ethereum, , 
Digitex Futures,https://digitexfutures.com/,https://github.com/DigitexFutures,https://www.digitexfutures.com/whitepaper/Digitex-Whitepaper.v.1.1.pdf, , dev, digitex protocol,9, , , , 
Distributed Exchage, ,https://github.com/p2pdex/DEX,https://github.com/p2pdex/DEX/blob/master/DEX%20Client%20original%20Description.doc?raw=true, , dead, TBC, , , , , 
DSE, ,https://github.com/manki11/DSE_Hackrupt, , FULLY, dev, TBC,11, , , , 
DTE,https://tomw1808.github.io/distributed_exchange_truffle_class_3/index.html,https://github.com/tomw1808/distributed_exchange_truffle_class_3, , FULLY, prototype, TBC, , , , , 
DTX, ,https://github.com/zeriontech/DTX, , , dev, TBC, , , , , 
DUBIex,https://dubiex.com/,https://github.com/nionis/dubiex/, , , operating, TBC, , , , , 
DutchX,https://gnosis.pm/,https://github.com/gnosis/dx-react,https://dutchx.readthedocs.io, FULLY, live, dutch auction principle protocol, , ERC20 Tokens, Ethereum, Gnosis, 
dYdX,https://dydx.exchange/,https://github.com/dydxprotocol/protocol,https://whitepaper.dydx.exchange/, , dev, dYdX protocol,5, ERC20 Tokens - Dydx Derivatives Option - Short Sell, Ethereum, , 
EasyTrade,https://easytrade.io/, , , FULLY, operating, 0x protocol, , , , , 
Eidoo,https://eidoo.io/,https://github.com/eidoo,https://eidoo.io/white-paper/, DCD, operating, multi protocol,3, , , , 
Enclaves,https://enclaves.io,https://github.com/adamdossa, , , operating, 0x protocol, , , Ethereum, , 
Enigma,https://www.enigma.co/,https://github.com/enigmampc/,https://www.enigma.co/enigma_full.pdf, , proposed, enigma protocol,2, All, All, , 
EOSDAQ,https://eosdaq.com/, , , , dev, eos protocol, , , EOS, , 
EOSfinex,https://www.eosfinex.com/, , , , dev, eos protocol, , , EOS, , 
ERC dEX,https://app.ercdex.com,https://github.com/ERCdEX, , , operating, 0x protocol, , , , , 
Ethen Market,https://ethen.market,https://github.com/ethenmarket, , , operating, on-chain protocol,3, ERC20 Tokens, Ethereum, , 
ETHERC,https://etherc.io/,https://github.com/ETHERCIO,https://medium.com/@etherc_io/, FULLY, operating, on-chain protocol, , , , , 
EtherDelta,https://etherdelta.com,https://github.com/etherdelta, , FULLY, operating, on-chain protocol, Ethereum, , , , 
EtherEx,https://etherex.github.io/etherex,https://github.com/etherex/etherex, , , operating, TBC, , , , , 
EtherFlyer,https://www.etherflyer.com/, , , , operating, TBC, , , , , 
EtherMium,https://ethermium.com/, ,https://docs.ethermium.devify.net/, , operating, TBC, , ERC20 Tokens, Ethereum, , 
Ether Wager,https://eth-wager.surge.sh/, , , , operating, oraclize protocol, , , , , 
Ethex,https://ethex.market/,https://github.com/Ethex, , , beta, TBC, , , , , 
Ethfinex,https://www.ethfinex.com/, , , , private beta, multi protocol,4, , , , 
Ethos,https://www.ethos.io/, ,https://www.ethos.io/Ethos_Whitepaper.pdf, DCD DS, dev, multi protocol 0x - atomic swap,6, , , , 
Everbloom,https://everbloom.co/, ,https://docs.everbloom.co/, FULLY, operating, multi-protocol, , ERC20, Ethereum, , 
Exchange Union,https://www.exchangeunion.com,https://github.com/exchangeunion,https://api.exchangeunion.com/pdf/en/ExchangeUnion-WhitePaper.pdf, DS DOB DD OPRO, dev, exchange union protocol, , All, All, , 
